{'time': 1.5768053531646729, 'x': 0.10567841950047191, 'y': 0.0008304766567506815, 'z': 0.6528175110539813, 'yaw': 1.3732478788166402, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5823938846588135, 'x': 0.10565959894194994, 'y': 0.0008452379974255509, 'z': 0.6528041827046116, 'yaw': 1.3730756188431255, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5875465869903564, 'x': 0.10565983823767536, 'y': 0.0008433510932136817, 'z': 0.6528219925848526, 'yaw': 1.3730118713746948, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5930349826812744, 'x': 0.1056565799895478, 'y': 0.0008505777308323346, 'z': 0.652810214367468, 'yaw': 1.3733001338020545, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.59855055809021, 'x': 0.10566429432182456, 'y': 0.0008509908238119048, 'z': 0.6528185877422079, 'yaw': 1.3730169315464769, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6039705276489258, 'x': 0.10564263416305639, 'y': 0.0008479028801498678, 'z': 0.6528318572174179, 'yaw': 1.3731275099074718, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6090538501739502, 'x': 0.10567654724124582, 'y': 0.0008417614718342823, 'z': 0.6528189012957264, 'yaw': 1.3734440312420984, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6145684719085693, 'x': 0.10566444158097824, 'y': 0.0008359079568119636, 'z': 0.6528280914102258, 'yaw': 1.3732591313809874, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6202123165130615, 'x': 0.10565909630991223, 'y': 0.0008387398390588552, 'z': 0.6528034063983241, 'yaw': 1.3733180733746586, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6256513595581055, 'x': 0.1056648919155714, 'y': 0.000851429082933298, 'z': 0.6528073520471742, 'yaw': 1.3736481659184763, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6311936378479004, 'x': 0.10566336421189015, 'y': 0.0008619285199116262, 'z': 0.6528209186064986, 'yaw': 1.3729849795170928, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6366806030273438, 'x': 0.10565257614246289, 'y': 0.0008605987201045786, 'z': 0.6527625790152114, 'yaw': 1.373908978711217, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.642195701599121, 'x': 0.10565724694830243, 'y': 0.0008451650248421614, 'z': 0.6528198521909052, 'yaw': 1.373010114159418, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6477363109588623, 'x': 0.10566458789645751, 'y': 0.0008415425774740033, 'z': 0.6528058655572883, 'yaw': 1.3734088579437032, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6532771587371826, 'x': 0.10566674725036498, 'y': 0.0008384895245702078, 'z': 0.6528147723926889, 'yaw': 1.3730858873068628, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.660773515701294, 'x': 0.1056748126738191, 'y': 0.0008496601992444767, 'z': 0.6527998784163116, 'yaw': 1.3734478382803497, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6663289070129395, 'x': 0.10568291491285244, 'y': 0.000852046407900249, 'z': 0.6527903326618312, 'yaw': 1.3734760150246226, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.671332597732544, 'x': 0.10566420558021729, 'y': 0.0008461060894294428, 'z': 0.6528236378339491, 'yaw': 1.3731158125205725, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6758108139038086, 'x': 0.10568961890559193, 'y': 0.0008415420035333726, 'z': 0.6528074738388395, 'yaw': 1.3736880335284845, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
